n,depth,alpha,seed,rule,chi,peak_weight,R,min_abs_Z,fidelity,discarded_weight,seconds
16,24,0.05,0,random,2,0.272168,0.5625,0.0151326,3.0522e-06,159.504,0.0828281
16,24,0.05,0,random,4,0.272168,0.6875,0.00918549,3.37149e-05,143.53,0.0829581
16,24,0.05,0,random,8,0.272168,0.375,0.0232228,4.05339e-06,96.4453,0.0639814
16,24,0.05,0,random,16,0.272168,0.6875,0.0163326,9.17204e-06,72.2934,0.115172
16,24,0.05,0,random,32,0.272168,0.5,0.0217616,1.17043e-05,51.6553,0.362888
16,24,0.05,0,random,64,0.272168,0.6875,0.00674186,4.88058e-06,32.912,4.75183
16,24,0.05,0,random,128,0.272168,0.375,0.000297611,9.60641e-06,10.5638,29.9879
16,24,0.05,0,random,256,0.272168,1,0.339444,1,0,23.4196
16,24,0.05,1,top_chi,2,0.308533,0.75,0.00931085,3.66321e-05,21.682,0.113304
16,24,0.05,1,top_chi,4,0.308533,0.5625,0.0117505,0.000318141,14.1088,0.165364
16,24,0.05,1,top_chi,8,0.308533,1,0.156175,0.0245609,8.37263,0.219511
16,24,0.05,1,top_chi,16,0.308533,1,0.171589,0.0958285,5.25269,0.334343
16,24,0.05,1,top_chi,32,0.308533,1,0.24764,0.246407,3.09794,0.788922
16,24,0.05,1,top_chi,64,0.308533,1,0.343482,0.490472,1.46323,9.76879
16,24,0.05,1,top_chi,128,0.308533,1,0.394218,0.81871,0.342781,25.4206
16,24,0.05,1,top_chi,256,0.308533,1,0.392261,1,0,27.8101
16,24,0.05,1,random,2,0.308533,0.4375,0.0394537,1.87574e-06,154.281,0.130128
16,24,0.05,1,random,4,0.308533,0.375,0.0203381,3.88989e-06,124.135,0.101795
16,24,0.05,1,random,8,0.308533,0.25,0.0073894,1.12213e-06,100.505,0.152254
16,24,0.05,1,random,16,0.308533,0.4375,0.0121152,2.30054e-06,73.7573,0.188342
16,24,0.05,1,random,32,0.308533,0.5,0.0048749,1.48796e-06,54.5001,0.474234
16,24,0.05,1,random,64,0.308533,0.625,0.00819566,1.32525e-06,32.6784,12.3242
16,24,0.05,1,random,128,0.308533,0.6875,0.000591271,4.13528e-06,10.2847,27.6779
16,24,0.05,1,random,256,0.308533,1,0.392261,1,0,31.6521
16,24,0.05,2,top_chi,2,0.261363,0.375,0.0105474,1.37556e-05,22.1523,0.0545251
16,24,0.05,2,top_chi,4,0.261363,0.875,0.0431223,0.00559476,12.8313,0.0541369
16,24,0.05,2,top_chi,8,0.261363,0.9375,0.0146401,0.0178414,8.17744,0.0632591
16,24,0.05,2,top_chi,16,0.261363,1,0.146879,0.0839409,5.15691,0.0971974
16,24,0.05,2,top_chi,32,0.261363,1,0.248991,0.243186,3.13681,0.31649
16,24,0.05,2,top_chi,64,0.261363,1,0.300701,0.482099,1.50015,5.10767
16,24,0.05,2,top_chi,128,0.261363,1,0.335577,0.817223,0.343098,34.5153
16,24,0.05,2,top_chi,256,0.261363,1,0.331865,1,0,34.5175
16,24,0.05,2,random,2,0.261363,0.3125,0.0200839,1.4094e-05,156.245,0.125557
16,24,0.05,2,random,4,0.261363,0.5625,0.0502416,1.54158e-05,129.294,0.126652
16,24,0.05,2,random,8,0.261363,0.6875,0.00662103,1.13599e-05,101.013,0.198336
16,24,0.05,2,random,16,0.261363,0.375,0.0408154,9.06142e-07,78.9079,0.195564
16,24,0.05,2,random,32,0.261363,0.375,0.0193246,6.33071e-06,51.6097,0.495567
16,24,0.05,2,random,64,0.261363,0.75,0.000367925,7.67675e-06,33.0575,5.96098
16,24,0.05,2,random,128,0.261363,0.75,0.00347206,1.67825e-06,10.9373,32.8475
16,24,0.05,2,random,256,0.261363,1,0.331865,1,0,22.2337
16,24,0.05,3,top_chi,2,0.281376,0.25,0.0182871,8.31939e-06,22.6068,0.045097
16,24,0.05,3,top_chi,4,0.281376,0.875,0.00717735,0.000667707,12.2744,0.051973
16,24,0.05,3,top_chi,8,0.281376,0.9375,0.0206698,0.0284601,7.77202,0.134604
16,24,0.05,3,top_chi,16,0.281376,1,0.109153,0.0942948,4.99236,0.148068
16,24,0.05,3,top_chi,32,0.281376,1,0.231746,0.243987,2.98706,0.493975
16,24,0.05,3,top_chi,64,0.281376,1,0.31603,0.498286,1.3771,5.29383
16,24,0.05,3,top_chi,128,0.281376,1,0.343313,0.825784,0.312913,15.8699
16,24,0.05,3,top_chi,256,0.281376,1,0.342019,1,0,17.3697
16,24,0.05,3,random,2,0.281376,0.375,0.0338165,7.18037e-06,147.536,0.0871133
16,24,0.05,3,random,4,0.281376,0.625,0.0106122,2.2336e-05,127.045,0.101483
16,24,0.05,3,random,8,0.281376,0.5625,0.00846264,4.66375e-06,98.1773,0.116569
